"0","1","2","3","4","5","6","7","8","9","10","11","12","$oid","review_id","user_id","business_id","stars","useful","funny","cool","text","date","$oid (right)"
1799,"HUEZLPIM64cDZnfHE1H3AA","Pizza Hut","9100 International Dr","Orlando","FL","32819",28.4327384,-81.4721426,3.5,59,1,"Chicken Wings, Italian, Restaurants, Pizza","61aca52666e2b451ab58ab85","J4LVJg82TjwJmjJvwwJcOg","EdJoFvhyRQnnGW7DT3ZLQA","HUEZLPIM64cDZnfHE1H3AA",5,0,0,0,"its the best pizza hut i'v found in florida always got great deals & offers the staff are very friendly & make you feel welcome and if you have children with you they make them feel extra special & welcome them in a huge way too",1222680784000,"61aca64ba536b27596ec271b"
1799,"HUEZLPIM64cDZnfHE1H3AA","Pizza Hut","9100 International Dr","Orlando","FL","32819",28.4327384,-81.4721426,3.5,59,1,"Chicken Wings, Italian, Restaurants, Pizza","61aca52666e2b451ab58ab85","LyXcJyv0EJvfx5FGD52kAQ","VqmaCDN9lQsuVJsBwUgy5g","HUEZLPIM64cDZnfHE1H3AA",3,0,0,0,"Compared to pizza hut in the UK, this an entirely different experience. The food seems to come in larger portions, you're drinks will be refillable, and the service is always with a smile. It is in a very good location on International drive, near a lot of the major hotels. Also, you will get the option of taking your remains back with you, incase the pizza gets the better of you! It is also much cheaper than eating out in the U.K, as is most things in the U.S.A.",1226838538000,"61aca64ba536b27596ec286f"
1799,"HUEZLPIM64cDZnfHE1H3AA","Pizza Hut","9100 International Dr","Orlando","FL","32819",28.4327384,-81.4721426,3.5,59,1,"Chicken Wings, Italian, Restaurants, Pizza","61aca52666e2b451ab58ab85","SfH6pdpHXkGiy-pEk4G2Cw","eKCbBk3EEkQ7-DjyV7UJPQ","HUEZLPIM64cDZnfHE1H3AA",5,0,0,0,"Pizza Hut is great! You get huge pizzas for your money, and the service is very quick and friendly. The breadsticks as a starter are delicious, and you get huge drinks. We were seated very quickly, and our food was delivered so quickly. A great meal.",1226828644000,"61aca64ba536b27596ec28b8"
1799,"HUEZLPIM64cDZnfHE1H3AA","Pizza Hut","9100 International Dr","Orlando","FL","32819",28.4327384,-81.4721426,3.5,59,1,"Chicken Wings, Italian, Restaurants, Pizza","61aca52666e2b451ab58ab85","KskjYwiLpkpxhltMACga1g","yQgV6H7CJ6mbbMCR7ob7sA","HUEZLPIM64cDZnfHE1H3AA",4,0,0,0,"Pizza hut is great in USA, its a different menu this prices are really cheap.",1227002178000,"61aca64ba536b27596ec2950"
1942,"i90jeBl_lLHzzuDLsxWJEA","Luke's Kitchen and Bar","640 S Orlando Ave","Orlando","FL","32751",28.6225778,-81.3636526,4,335,1,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers","61aca52666e2b451ab58ab9a","tzcM9LnvhHoubaI2mBdAYg","cLcDlWwaD8hebXrZRIazqQ","i90jeBl_lLHzzuDLsxWJEA",5,0,0,1,"I had lé cheeseburger, pink, naked fries which were delicious, clean oil. Bun toasted and buttery. The sauce for the burger, light but flavory. Cheese's texture and light flavor, heated just right releasing the subtle oils from the formagio! Ask for the house made bar-b-que sauce on the side--dipping yummy . Sarah  the bar-maid is lovely, attentive! Great Xperience!",1496776595000,"61aca64ba536b27596ec2831"
1942,"i90jeBl_lLHzzuDLsxWJEA","Luke's Kitchen and Bar","640 S Orlando Ave","Orlando","FL","32751",28.6225778,-81.3636526,4,335,1,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers","61aca52666e2b451ab58ab9a","QbErd58Uab5Eoi5tyq_cdA","rCR_o-GPZf6D6ezk37COMw","i90jeBl_lLHzzuDLsxWJEA",5,0,0,0,"Had a great meal at Luke's last night!! I was celebrating my birthday with a few friends so they gave each of us a glass of complimentary champagne. I got the pork, two of my friends got the chicken salad, and another got the chicken. We of course started out with the rolls. The meal was wonderful & so was the service. Looking forward to coming back again!",1532598475000,"61aca64ba536b27596ec28b9"
1942,"i90jeBl_lLHzzuDLsxWJEA","Luke's Kitchen and Bar","640 S Orlando Ave","Orlando","FL","32751",28.6225778,-81.3636526,4,335,1,"Nightlife, Seafood, Bars, American (Traditional), American (New), Restaurants, Burgers","61aca52666e2b451ab58ab9a","-Ljq2op7BF0I3n6s3H8axg","oi31qXbZNX6n0ViKRMTFRQ","i90jeBl_lLHzzuDLsxWJEA",1,1,0,0,"Was not seated for 30 minutes when we had reservations.  Food is underwhelming and overpriced.  The female manager was not helpful and downright rude.  Clearly not up to the standard of prato and luma.  Don't waste your money here folks.",1487511019000,"61aca64ba536b27596ec2873"
2047,"vVF-M6yj3uUljHFZ_WXeiw","Oppa Sushi","185 Harvard Ave","Boston","MA","02134",42.350904,-71.1313152,4.5,294,1,"Japanese, Sushi Bars, Food, Food Delivery Services, Seafood, Specialty Food, Ramen, Seafood Markets, Restaurants","61aca52666e2b451ab58aba5","-3Lj_fHI9rFyr-mcDNbSRA","EqMHwJgOWwb0WSLxK3rgRg","vVF-M6yj3uUljHFZ_WXeiw",5,0,0,0,"Out of all the sushi places I've been to, I have to say they consistently had fresh fish each and every single time I've been here. The prices are fair for the amount and freshness of the fish. I find myself craving the soft and sweet salmon all the time!",1485556748000,"61aca64ba536b27596ec2800"
2659,"U9lrX8Nviajz-74dF6zL7g","SeaWorld Orlando","7007 SeaWorld Dr","Orlando","FL","32821",28.4117475505,-81.4637947083,3.5,1082,1,"Amusement Parks, Active Life, Performing Arts, Restaurants, Buffets, Arts & Entertainment, Aquariums","61aca52666e2b451ab58abef","4mfy3Lze4J0hlBhfuzYNeg","zEW5eBNwa5oV8e_xbqr7Xg","U9lrX8Nviajz-74dF6zL7g",3,0,0,0,"I think the amount of fun you will have here depends on who you go with and what you want to do. I went with my son today (2/23) on a class trip and he was very disappointed. 

Families with toddlers thru preschoolers: they have a great kiddie area that (when my kids were younger) they could play in all day. A big extensive net system that lets them play above the ground. Lots of little kiddie rides for them to go on and even a kiddie roller coaster (38"" and up)

Families with older kids (I'd say 3rd or 4th grade and up) or without kids - the park turns more into a theme park for you with the three roller coasters, Mako, Kraken, and Manta. The height requirement is 54"" and they enforce it! 

Families that are just in it for the shows- there are a lot of them, with lots of different animals. 

However if you have kids that are too big for the kiddie area and not quite big enough for the actual rides and don't really care about shows--they may be bored.

On 2/23 the one ""roller coaster"", Atlantis, my son (53"" and bitter, lol) could have gone on was out of commission the entire day. So he was stuck with bland rides that definitely didn't hold a candle to the roller coasters he was desiring. 

He also wasn't into the shows, which--I mean after all the negative press, it's hard to get excited for and if you've seen one dolphin push a human around, you've seen them all.  

The food service was awful. I'll just say it. The park wasn't particularly crowded however we waited 30 mins for every food thing we wanted. I'm glad we brought our lunch bc I can't imagine how much more time we would have wasted waiting for food. 

The cleanliness was average, the bathrooms were stinky but not disgusting. 

So, before you set out, figure out who can ride what so there is no sadness on a day you're spending $80 ish per person just to get in the door.",1519425965000,"61aca64ba536b27596ec283c"
2659,"U9lrX8Nviajz-74dF6zL7g","SeaWorld Orlando","7007 SeaWorld Dr","Orlando","FL","32821",28.4117475505,-81.4637947083,3.5,1082,1,"Amusement Parks, Active Life, Performing Arts, Restaurants, Buffets, Arts & Entertainment, Aquariums","61aca52666e2b451ab58abef","BgBnykUFIGaV6Iuyn4kYFA","sL4zZQObC0nqbu3qZGJExA","U9lrX8Nviajz-74dF6zL7g",2,0,0,0,"WHERE DO I START? We brought the kids here for their first time, got there around 9:30 for a 10:00 opening and was glad when they opened early. However, it quickly went downhill from there. Once we were in the park, we got in line for Manta and were disappointed when the ride shut down for ""technical difficulties."" That lasted for about 25 minutes or so and many people left. Once operational, the ride itself was okay, but actually too slow for my liking. We then proceeded to try some other rides (they only have four roller coasters) and when I say that EVERY SINGLE ONE had an issue, I am not exaggerating! Kraken and Journey to Atlantis were both also experiencing technical difficulties, and Mako was temporarily shut down (when we were next in line) for an unexplained weather event as it was not raining, thundering, or lightning!!! Dark clouds should not shut down rides! Anyway....

At Journey, we'd just gotten our locker that the attendant told us we needed and when we came back he rudely told us and others that the ride had shut down and to go see guest services if you have an issue with getting money back for your locker as someone inquired. The bright side here is that we basically walked right up to everything as it was not crowded at all, which I may now understand why not. We left Journey to ride Kraken which was the best ride they have so we were able to ride it back to back as NO ONE was there! By the time we got back to Journey, it was fixed. One thing we didn't like about it was all the signage warning you that something was about to happen. No surprises here like it used to be! It kinda took the fun out of the ride.

On a positive note, we saw the Dolphin and Sea Lion shows which were pretty good and all of the aquariums and animal encounter exhibits were well done. I personally loved Antarctica and the penguins and how they let us ride into their habitat. That was really cool. 

Lastly, the park closed at 6 PM but they started shutting stuff down (stores, carts, etc) at 5 PM to try to usher you out of the park. An employee told us this when we asked why it was already such a ghost town. I have been to many, many, theme parks and have never seen anything like it. To sum it all up, my teenager described it as a broken down Six Flags, but way worse. Save your money and go somewhere else!",1537845527000,"61aca64ba536b27596ec283a"
3719,"1VqftFBUMdktbt2MX5JUNQ","Boston Kitchen Pizza","1 Stuart St","Boston","MA","02116",42.3510218,-71.0631478,4,243,1,"Italian, Caterers, Event Planning & Services, Pizza, Restaurants","61aca52666e2b451ab58ac8c","UWN6geLjvN9wImPCsxdRAg","sywRLyJCySBZGEyLi-9qyg","1VqftFBUMdktbt2MX5JUNQ",4,0,0,0,"Their menu is pretty big and has a variety of options. Any fast food greasy option you can think of, they have. Their slices are pretty big and their service is real quick. Great late night option if you're in the downtown area.",1483329854000,"61aca64ba536b27596ec27c8"
388,"N78TSwxdXeYZaKZsyvkryA","Code 10","1638 Washington St","Boston","MA","02118",42.3379247,-71.074729,3.5,112,1,"Restaurants, Sandwiches, Soup, Delis, Food, Ice Cream & Frozen Yogurt","61aca52666e2b451ab58aac9","sBMuXTWx1b-7YLjUiu2Mgw","6IJxGjTpzQHiAVn1C6qsrw","N78TSwxdXeYZaKZsyvkryA",1,2,0,1,"We ordered after seeing it on grub hub and the food was very disappointing and made with low quality meats similar to low grade pre packaged deli style. They got here quickly though, so that's one good thing.",1415798310000,"61aca64ba536b27596ec286c"
1044,"Mw9Locfp_Qc_T_QDyLR3cQ","Roque Pub","3076 Curry Ford Rd","Orlando","FL","32806",28.5234748,-81.3440402,4.5,143,1,"Restaurants, American (New), Sandwiches, Bars, Food, Nightlife, Event Planning & Services, Beer, Wine & Spirits, Venues & Event Spaces, Pubs","61aca52666e2b451ab58ab18","F9Rd3fhuM_q90zKz8ZGuxw","dEojfX4Syt-Yddq2RkB3sg","Mw9Locfp_Qc_T_QDyLR3cQ",4,0,0,0,"A true beer lovers bar!! Hundreds of options from a light ale to a triple Belgium, a gose to a stout. You will find something for anyone and everyone. While the tap list isn't as long it's still good and varied. If you are unsure the bar staff is more than welcoming and willing to help you discover something new. It's a little pricey but for the beer and vibes it's totally worth it. They also have a decent pub food menu and games to play. It's a fun place to hangout. Make sure you check their calendar as they frequently have events :)",1537884672000,"61aca64ba536b27596ec28f6"
2401,"Oj5Seggqo_2FfKSjcAg7yw","Empire Asian Restaurant & Lounge","1 Marina Park Dr","Boston","MA","02210",42.3529147863,-71.0455799103,3,536,1,"Nightlife, Restaurants, Asian Fusion, Bars, Lounges, Sushi Bars","61aca52666e2b451ab58abc8","5S0sOS6OD9RJRYVl5jz7ZA","dUOZB3F9187M8UjbAxTAkQ","Oj5Seggqo_2FfKSjcAg7yw",3,0,0,0,"This place is pretty cool! The ambiance has more of a nightclub feel. Music playing, an older crowd (wouldn't recommend for families since it was just so loud and dark). We ordered a variety of items and the food was just ok. I was expecting more because of the price point and the location.  The worst was the sushi. I don't think I'll be back. Just not my cup of tea.",1527546311000,"61aca64ba536b27596ec2728"
2401,"Oj5Seggqo_2FfKSjcAg7yw","Empire Asian Restaurant & Lounge","1 Marina Park Dr","Boston","MA","02210",42.3529147863,-71.0455799103,3,536,1,"Nightlife, Restaurants, Asian Fusion, Bars, Lounges, Sushi Bars","61aca52666e2b451ab58abc8","bb6m0vpmAHVLYpMHljKurg","q7vo7vpOUmASi3ML37cL2Q","Oj5Seggqo_2FfKSjcAg7yw",4,0,0,0,"Overall I had a good experience at Empire.  I came here on a Wednesday for a drink with some friends.  The hostess and server were both quite nice and service overall was spot on (checked in on just often enough).  The drinks were creative and got some good reviews and my scotch was neat!",1354586488000,"61aca64ba536b27596ec270d"
3581,"96RSYhKtJXU70XmKuhtHeQ","LA Boiling Seafood Crab & Crawfish","1242 E Colonial Dr","Orlando","FL","32803",28.5529358752,-81.3629580189,4,354,1,"Restaurants, Cajun/Creole, Sandwiches, Seafood","61aca52666e2b451ab58ac70","FUxfEvTKIEMtG36H_AYhtw","gO9Ie4xaS9A2OEP1OLROGQ","96RSYhKtJXU70XmKuhtHeQ",3,0,0,0,"My daughter loves this place. The quality of the food is consistent and good. I normally just get the fried shrimp but she gets the shrimp/crab legs combos and has never been disappointed. We have only had take out but my daughter says everyone has been nice to her each time she has gone. The only reason I didn't give it more stars is because it has to be the best food ever for me to give it more than 3 stars.",1449281947000,"61aca64ba536b27596ec2754"
3802,"vSDaI7j5peZnSrefkpCWvg","Brew","75 Northern Ave","Boston","MA","02210",42.3523779,-71.0452809,3,14,1,"Cafes, Coffee & Tea, Bagels, Restaurants, Beer, Wine & Spirits, Food","61aca52666e2b451ab58ac7d","w20trLOwnUhJrX6-Jjgm1g","g9HEDLzz2LjXepE2sZWzhw","vSDaI7j5peZnSrefkpCWvg",1,1,0,0,"Note to the Yelp admin: this place actually closes at 4:55 pm, not 5 pm. Weird, I know, but I went to get an iced coffee on another hot Boston day and when I arrived at 4:55 I waited. I waited a few minutes before someone came over and told me it was closed. Still before 5 pm. Thankfully there's a Starbucks coming in soon across the street so we don't have to settle when we want an afternoon iced coffee.",1468530383000,"61aca64ba536b27596ec2763"
842,"h6b_e9Umiau5osfScdR4Ww","Whiskey's Food & Spirits","885 Boylston St","Boston","MA","02116",42.3486744,-71.0836219,2.5,626,0,"Whiskey Bars, Nightlife, American (Traditional), Bars, Pubs, Restaurants","61aca52666e2b451ab58ab0c","WSO-LoI2fPesYfc4r50O-Q","PyqF5Gln7sqkJZfg4y_VUg","h6b_e9Umiau5osfScdR4Ww",3,0,0,0,"Next stop on our bar hopping adventure. I had never been here before, the place was super crowded for St.Patricks Day. We waited probably 15 minutes to get in but there was no cover charge so it wasn't too bad. But once we get inside, you could barely walk past anyone without touching the person next to you. I felt like we were at a rock concert in a mosh pit situation we could barely move. Even after all that fighting my way to the bar, it took another 15 minutes before I got the waitress to come and take my drink order. It was such a loud atmosphere I felt like I was screaming my order at her. Only got 1 drink here, too crowded to get to the bar again just to wait even longer. That and it was so hot inside it got to be a little h comfortable after a few hours so we left. Maybe I'd come back but not on a holiday like St.Patty's Day again.",1521815690000,"61aca64ba536b27596ec278e"
842,"h6b_e9Umiau5osfScdR4Ww","Whiskey's Food & Spirits","885 Boylston St","Boston","MA","02116",42.3486744,-71.0836219,2.5,626,0,"Whiskey Bars, Nightlife, American (Traditional), Bars, Pubs, Restaurants","61aca52666e2b451ab58ab0c","2mCO8m2StS6BXfjJpzsM1w","r2CIgHAjs7xGDOM2kxUrRw","h6b_e9Umiau5osfScdR4Ww",5,0,0,0,"One of my favorite places in Boston, as a student I am really sensitive to price and whiskey's is very affordable! $25 for a dinner for 2 with beers! 
They have wide range of burgers and the pizza are incredible. It's a casual place where I like to hang out, watch sports with friends...",1322613002000,"61aca64ba536b27596ec28b4"
1340,"1eyv_Nm2KHOmGGb7je21Ug","Fuzzy's Taco Shop","12241 East Colonial Dr","Orlando","FL","32826",28.5665610177,-81.1952380621,3.5,170,1,"Sandwiches, Restaurants, Tex-Mex, Breakfast & Brunch, Mexican","61aca52666e2b451ab58ab46","n5OVIz-rcIao7jzs2gzrjg","0AmXl43xI0Soj75xet4Qcw","1eyv_Nm2KHOmGGb7je21Ug",5,1,0,0,"I ordered the beef tacos (pretty basic of me) and did not regret it one bit! The beef tacos are amazing and seasoned well. Definitely recommend this spot! The price is very reasonable.",1535058549000,"61aca64ba536b27596ec2907"
1890,"CIuNre-2JhMOZLkaLeBtRA","Scoozi Newbury","237 Newbury St","Boston","MA","02116",42.3498806,-71.0820826,3.5,234,0,"Restaurants, American (New), Pizza, Gluten-Free, Burgers, Sandwiches, Italian","61aca52666e2b451ab58ab91","DDmbvPhrTKEhumEmX4hfTA","NtgXljFEPMAQx7pbgos93Q","CIuNre-2JhMOZLkaLeBtRA",4,0,0,0,"A group of us were wandering around Boston on a day trip and stopped at Scoozi for lunch. The restaurant was still pretty empty but the bar looked so inviting we decided to eat there.

There were 4 of us including my autistic daughter. The female bartender couldn't have been better. When she asked my (adult) daughter what she wanted to drink and got no response I explained to her about my daughter's disability she couldn't have been more accommodating. 

We got a round of Noble Pils, and a BBQ chicken pizza and a Blanca pizza. 

The food was tasty, the service was great, the only scary thing was the hike down the stairs to the bathroom.",1303428513000,"61aca64ba536b27596ec2791"
2938,"4PxNdgzNgSWLnATvRSS_DQ","Mel's Drive-In","6000 Universal Blvd, Universal Studios Florida","Orlando","FL","32819",28.4764135472,-81.46782325,2.5,134,1,"Active Life, Diners, Amusement Parks, Restaurants","61aca52666e2b451ab58ac00","cu7AqTgz0AzVKnNO1WlFAg","d4hHDH08K8KnFoti5L7mTQ","4PxNdgzNgSWLnATvRSS_DQ",4,0,0,0,"A very well done theme park restaurant, like always the price is high but atleast the meal is filling an tastes good, although the menu is limited but their good at what they do. 
Also the decoration feels authentic, until you look out the window or upfront to the lines.",1365621827000,"61aca64ba536b27596ec28bc"
3583,"zg9p8ZBFmEUCtfcBHNvzvg","City Diner","411 N Magnolia Ave","Orlando","FL","32801",28.5480493,-81.3765618,3.5,78,0,"Restaurants, Coffee & Tea, Diners, Food, Breakfast & Brunch, American (Traditional)","61aca52666e2b451ab58ac69","a1u34Q5FFAkgAeEIylMGWw","6T1zjAnnls2tE5rvqwtm9A","zg9p8ZBFmEUCtfcBHNvzvg",4,0,0,0,"We ate at this place all three mornings we were in Orlando this past weekend. The food was awesome and the servings were large! The first and third day we had breakfast there the service was so amazing! The two different ladies were very attentive and super friendly. The second day (different lady) was not as great but she was busy and alone so I will give her that. The place was very clean and a great atmosphere. Definitely recommended!",1415799858000,"61aca64ba536b27596ec2725"
